year,book_format,avg_price,avg_page_count,book_count,total_reviews,total_sales
1998,Paperback,14.818765697882952,345.1266594904916,69,2787,180078.38000000018
1999,Hardcover,20.024865286997265,346.24990238188207,65,2561,219028.96000000002
1999,Kindle,10.028042718446521,,39,2575,117335.03000000029
1999,Paperback,16.2080736968244,372.1512881965249,94,3338,237215.66000000027
2000,Hardcover,16.740964912280667,346.29704944178627,64,2508,174231.26999999987
2000,Kindle,10.298571428571355,,47,2331,103440.68000000014
2000,Paperback,13.651789077212735,319.1240247511434,97,3717,222602.50000000047
2001,Hardcover,14.631378109452706,252.681592039801,66,2010,130938.85000000033
2001,Kindle,13.46766211604089,,48,2344,136299.8900000002
2001,Paperback,15.539777510523104,318.97013429545,109,4989,348067.01999999874
2002,Hardcover,19.001100412654708,264.6753782668501,107,2908,247246.78000000014
2002,Kindle,10.228374649204772,,59,4276,194651.23000000042
2002,Paperback,13.608592830390512,371.9502407704655,107,5607,340168.3299999981
2003,Hardcover,24.86340210711145,334.4192273924495,100,2278,249539.64000000022
2003,Kindle,11.691793984562041,,87,3757,191246.90000000063
2003,Paperback,12.449794927145087,380.8953049109552,118,5559,307040.02999999933
2004,Hardcover,16.3776336816226,345.07314074984635,105,4881,330863.4500000003
2004,Kindle,13.698379160636701,,86,2073,119015.22000000002
2004,Paperback,16.233802325581422,395.95348837209303,151,5160,376626.4499999995
2005,Hardcover,33.89169601328902,522.3229235880399,126,6020,938118.8700000001
2005,Kindle,14.444221351616006,,99,2042,128720.1700000001
2005,Paperback,13.827933824591794,455.78659153301544,181,6921,425581.48999999784
2006,Hardcover,18.283190559440506,355.32837995337997,154,3432,276685.1400000002
2006,Kindle,11.314751146037878,,100,3054,148662.50000000035
2006,Paperback,14.587835037109642,316.42907155860524,183,7141,462677.71999999735
2007,Hardcover,17.538041305796106,263.82656007106374,147,4503,352597.9599999991
2007,Kindle,10.612753587332898,,124,4042,183880.82000000036
2007,Paperback,14.673382408455954,334.18922234805586,233,10596,691792.0899999938
2008,Hardcover,18.648450130378112,356.58164928292047,190,6136,485044.2999999991
2008,Kindle,11.394205346650834,,135,6808,345340.23999999836
2008,Paperback,16.186188155232692,407.33180062534484,251,10873,779762.4599999983
2009,Hardcover,17.922973654708475,409.12780269058294,215,10704,803412.0300000021
2009,Kindle,10.75644569471612,,199,8176,377687.5399999961
2009,Paperback,15.824905919098224,349.0499733373962,320,13127,925246.5999999956
2010,Hardcover,18.11440386473441,337.2503381642512,227,10350,831607.909999995
2010,Kindle,19.911175147295495,,186,9335,845238.5399999995
2010,Paperback,14.898464539821182,361.6427014000459,344,17428,1169282.5000000095
2011,Hardcover,19.31203518815888,393.0074006842142,221,14323,1202977.140000007
2011,Kindle,11.43967412365683,,236,11354,568978.8399999929
2011,Paperback,17.635052883937554,360.7285291214215,407,14182,1110975.8900000018
2012,Hardcover,25.012533971291955,371.9408612440191,260,15675,1742869.3500000087
2012,Kindle,10.908338952388817,,239,12161,582372.3599999921
